time,topic_name,document_count
2024-09-01,Coastal Wind Warning,1
2024-09-01,DRRM Office Activities,5
2024-09-01,Emergency Hotlines,37
2024-09-01,General Flood Advisory,1
2024-09-01,PAGASA Weather Advisory,32
2024-09-01,Public Weather Advisory,6
2024-09-01,Thunderstorm Safety Advisory,37
2024-09-01,Tropical Cyclone Bulletin,15
2024-09-01,Weather Advisory,17
2024-09-01,Weather Disturbance Updates,8
2024-10-01,Coastal Wind Warning,5
2024-10-01,DRRM Office Activities,12
2024-10-01,Emergency Hotlines,46
2024-10-01,General Flood Advisory,14
2024-10-01,PAGASA Weather Advisory,49
2024-10-01,Public Weather Advisory,4
2024-10-01,Thunderstorm Safety Advisory,30
2024-10-01,Tropical Cyclone Bulletin,15
2024-10-01,Weather Advisory,25
2024-10-01,Weather Disturbance Updates,14
2024-11-01,Coastal Wind Warning,15
2024-11-01,DRRM Office Activities,24
2024-11-01,Emergency Hotlines,34
2024-11-01,General Flood Advisory,11
2024-11-01,PAGASA Weather Advisory,44
2024-11-01,Public Weather Advisory,9
2024-11-01,Thunderstorm Safety Advisory,20
2024-11-01,Tropical Cyclone Bulletin,32
2024-11-01,Weather Advisory,26
2024-11-01,Weather Disturbance Updates,16
2024-12-01,DRRM Office Activities,8
2024-12-01,Emergency Hotlines,26
2024-12-01,General Flood Advisory,17
2024-12-01,PAGASA Weather Advisory,54
2024-12-01,Public Weather Advisory,38
2024-12-01,Thunderstorm Safety Advisory,25
2024-12-01,Tropical Cyclone Bulletin,4
2024-12-01,Weather Advisory,24
2024-12-01,Weather Disturbance Updates,16
2025-01-01,Coastal Wind Warning,1
2025-01-01,DRRM Office Activities,4
2025-01-01,Emergency Hotlines,40
2025-01-01,General Flood Advisory,12
2025-01-01,PAGASA Weather Advisory,52
2025-01-01,Public Weather Advisory,41
2025-01-01,Thunderstorm Safety Advisory,30
2025-01-01,Tropical Cyclone Bulletin,3
2025-01-01,Weather Advisory,32
2025-01-01,Weather Disturbance Updates,4
2025-02-01,DRRM Office Activities,10
2025-02-01,Emergency Hotlines,30
2025-02-01,General Flood Advisory,10
2025-02-01,PAGASA Weather Advisory,44
2025-02-01,Public Weather Advisory,38
2025-02-01,Thunderstorm Safety Advisory,5
2025-02-01,Tropical Cyclone Bulletin,3
2025-02-01,Weather Advisory,29
2025-02-01,Weather Disturbance Updates,12
2025-03-01,Coastal Wind Warning,2
2025-03-01,DRRM Office Activities,25
2025-03-01,Emergency Hotlines,32
2025-03-01,General Flood Advisory,15
2025-03-01,PAGASA Weather Advisory,41
2025-03-01,Public Weather Advisory,36
2025-03-01,Thunderstorm Safety Advisory,3
2025-03-01,Tropical Cyclone Bulletin,2
2025-03-01,Weather Advisory,41
2025-03-01,Weather Disturbance Updates,28
