caption,time,sharedPost/pageName/name,shares,engagements,cleaned_text,topic,topic_name
"Ang kahimtang sa atong suba karon, Wednesday, 𝐃𝐞𝐜𝐞𝐦𝐛𝐞𝐫 𝟐𝟓, 𝟐𝟎𝟐𝟒.

📍 Pugaan River as of 4:08pm

Pahimangno alang sa mga tagbalay na anaa nagpoyo sa daplin suba na mag binantayon ug mag amping, magmonitor kita sa atong palibot kay adunay posibilidad sa pag taas sa tubig sa suba, tungod kini sa padayon na pag ulan na atong na sinati karon orasa.

Ang ICDRRMO magpabilin sa pag monitor. 

Alang sa emergencies tawag lang sa hotline nos. 221-8459, 0997-726-2692, 0969-233-7878.
#ICDRRMOPROACTIVE
#RESCUE811 
#AsensoIliganon 
#rivermonitoring",2024-12-25T08:16:49.000Z,,5,37,kahimtang atong suba karon wednesday December pugaan river pm pahimangno alang tagbalay anaa nagpoyo daplin suba mag binantayon mag amping magmonitor atong palibot posibilidad pag taas tubig suba padayon pag ulan atong sinati karon orasa icdrrmo magpabilin pag monitor alang emergencies tawag lang hotline nos HASHTAG_icdrrmoproactive HASHTAG_rescue HASHTAG_asensoiliganon HASHTAG_rivermonitoring,2,Thunderstorm Safety Advisory
"Heavy Rainfall Warning No. 4  #MINPRSD
Weather System: SHEARLINE 
Issued at 02:00 AM 28 January 2025

𝐋𝐢𝐠𝐡𝐭 𝐭𝐨 𝐌𝐨𝐝𝐞𝐫𝐚𝐭𝐞 𝐫𝐚𝐢𝐧𝐬 are expected over  Lanao Del Norte (𝐈𝐋𝐈𝐆𝐀𝐍 𝐂𝐈𝐓𝐘) within the next 1-2 hours. 

The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next warning to be issued at 05:00 AM Today.",2025-01-27T18:59:48.000Z,,2,10,heavy rainfall warning HASHTAG_minprsd weather system shearline issued january Light Moderate rains expected lanao del norte ILIGAN CITY within next hours public disaster risk reduction management offices concerned advised monitor weather condition watch next warning issued today,1,Public Weather Advisory
"MINDANAO WEATHER FORECAST#MIN_PRSD

ISSUED AT: 5:00 PM 16 November 2024
VALID UNTIL: 5:00 PM Tomorrow",2024-11-16T09:22:26.000Z,,10,12,mindanao weather forecastHASHTAG_min_prsd issued pm november valid pm tomorrow,0,Tropical Cyclone Bulletin
"Tropical Cyclone Update: 
Tropical Depression formerly #RominaPH outside the Philippine Area of Responsibility (PAR) at 2:00 AM today.

All are advised to monitor updates from DOST-PAG",2024-12-22T20:35:12.000Z,DOST-PAGASA,1,6,tropical cyclone update tropical depression formerly HASHTAG_rominaph outside philippine area responsibility par today advised monitor updates dostpag,7,Weather Disturbance Updates
"TROPICAL CYCLONE BULLETIN NR. 4
Severe Tropical Storm #OfelPH (USAGI)
Issued at 11:00 PM, 12 November 2024
Valid for broadcast until the next bulletin at 5:00 AM tomorrow.

Link to full details: https://tinyurl.com/yuf76n5a",2024-11-12T15:41:49.000Z,,1,7,tropical cyclone bulletin nr severe tropical storm HASHTAG_ofelph usagi issued pm november valid broadcast next bulletin tomorrow link full details,0,Tropical Cyclone Bulletin
"𝐃𝐚𝐲 𝟏𝟑, 𝐌𝐚𝐫𝐜𝐡 𝟏𝟎, 𝟐𝟎𝟐𝟓 the Iligan City Disaster Risk Reduction and Management Office (ICDRRMO) brought 𝗢𝗽𝗲𝗿𝗮𝘁𝗶𝗼𝗻 𝗟𝗶𝘀𝘁𝗼 𝗕𝗮𝗿𝗮𝗻𝗴𝗮𝘆 𝗗𝗥𝗥𝗠 𝗣𝗹𝗮𝗻𝗻𝗶𝗻𝗴 𝗮𝗻𝗱 𝗖𝗼𝗺𝗺𝘂𝗻𝗶𝘁𝘆 𝗙𝗶𝗿𝘀𝘁 𝗔𝗶𝗱 𝗧𝗿𝗮𝗶𝗻𝗶𝗻𝗴 including 𝙃𝙖𝙣𝙙𝙨-𝙊𝙣𝙡𝙮 𝘾𝙋𝙍 to 𝐁𝐚𝐫𝐚𝐧𝐠𝐚𝐲 𝐃𝐢𝐭𝐮𝐜𝐚𝐥𝐚𝐧. Barangay officials and residents actively participated in learning essential disaster preparedness and emergency response techniques.

This ongoing initiative reflects the commitment of our working mayor, 𝗠𝗮𝘆𝗼𝗿 𝗙𝗿𝗲𝗱𝗲𝗿𝗶𝗰𝗸 𝗪. 𝗦𝗶𝗮𝗼 and 𝗩𝗶𝗰𝗲 𝗠𝗮𝘆𝗼𝗿 𝗠𝗮𝗿𝗶𝗮𝗻𝗶𝘁𝗼 𝗗. 𝗔𝗹𝗲𝗺𝗮𝗻𝗶𝗮 along with the 𝟭𝟴 𝗖𝗼𝘂𝗻𝗰𝗶𝗹 - 𝗦𝗮𝗻𝗴𝗴𝘂𝗻𝗶𝗮𝗻 𝗣𝗮𝗻𝗹𝘂𝗻𝗴𝘀𝗼𝗱 in equipping barangays with life-saving skills, ensuring a more disaster-resilient community. With each training session, Iligan City moves closer to a safer and more prepared future.

#ICDRRMOPROACTIVE
#AsensoIliganon
#OperationListo
#BarangayDRRMPlanning 
#communityfirstaid
#HandsOnlyCPR",2025-03-11T03:04:58.000Z,,0,6,Day March city disaster risk reduction management office icdrrmo brought Operation Listo Barangay DRRM Planning Community First Aid Training including HandsOnly CPR Barangay Ditucalan barangay officials residents actively participated learning essential disaster preparedness emergency response techniques ongoing initiative reflects commitment working mayor Mayor Frederick Siao Vice Mayor Marianito Alemania along Council Sanggunian Panlungsod equipping barangays lifesaving skills ensuring disasterresilient community training session city moves closer safer prepared future HASHTAG_icdrrmoproactive HASHTAG_asensoiliganon HASHTAG_operationlisto HASHTAG_barangaydrrmplanning HASHTAG_communityfirstaid HASHTAG_handsonlycpr,6,DRRM Office Activities
"Rainfall Advisory No. 10  #MINPRSD
Weather System: Intertropical Convergence Zone (ITCZ) 
Issued at 05:00 PM 31 December 2024

𝐌𝐨𝐝𝐞𝐫𝐚𝐭𝐞 𝐭𝐨 𝐡𝐞𝐚𝐯𝐲 𝐫𝐚𝐢𝐧𝐬 affecting Lanao Del Norte (Nunungan, 𝐈𝐥𝐢𝐠𝐚𝐧𝐂𝐢𝐭𝐲, Baloi, Tagoloan) which may persist within 2-3 hours and may affect nearby areas.

The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next warning to be issued at 8:00 PM Today.",2024-12-31T09:26:05.000Z,,0,7,rainfall advisory HASHTAG_minprsd weather system intertropical convergence zone itcz issued pm december Moderate heavy rains affecting lanao del norte nunungan IliganCity baloi tagoloan persist within hours affect nearby areas public disaster risk reduction management offices concerned advised monitor weather condition watch next warning issued pm today,1,Public Weather Advisory
"TROPICAL CYCLONE BULLETIN NR. 4
Severe Tropical Storm #MarcePH (YINXING)
Issued at 11:00 PM, 04 November 2024
Valid for broadcast until the next bulletin at 5:00 AM tomorrow.

 “MARCE” INTENSIFIES INTO SEVERE TROPICAL STORM AS IT UNDERGOES RAPID INTENSIFICATION

• Location of Center (4:00 PM)
The center of Severe Tropical Storm MARCE was estimated based on all available data at 715 km East of Daet, Camarines Norte (14.5°N, 129.6°E)
• Intensity
Maximum sustained winds of 100 km/h near the center, gustiness of up to 125 km/h, and central pressure of 985 hPa
• Present Movement
Northwestward at 35 km/h
• Extent of Tropical Cyclone Winds
Strong to storm-force winds extend outwards up to 600 km from the center

TROPICAL CYCLONE WIND SIGNALS (TCWS) IN EFFECT

TCWS No:1
Wind threat: Strong winds
Warning lead time: 36 hours
Range of wind speeds: 39 to 61 km/h (Beaufort 6 to 7)
Potential impacts of winds: Minimal to minor threat to life and property

Luzon:
-Batanes, the northern and eastern portions of Cagayan (Camalaniugan, Lal-Lo, Pamplona, Gonzaga, Santa Teresita, Baggao, Buguey, Santa Ana, Claveria, Gattaran, Peñablanca, Lasam, Aparri, Ballesteros, Abulug, Allacapan, Sanchez-Mira, Santa Praxedes, Alcala, Amulung, Iguig) including Babuyan Islands, the eastern portion of Isabela (Maconacon, San Pablo, Divilacan, Palanan, Dinapigue), the northern portion of Apayao (Santa Marcela, Luna, Calanasan, Flora, Pudtol), and the northern portion of Ilocos Norte (Pagudpud, Dumalneg, Adams, Bangui, Burgos, Pasuquin, Vintar)

OTHER HAZARDS AFFECTING LAND AREAS

Heavy Rainfall Outlook
Refer to Weather Advisory No. 1 issued at 11:00 PM today for the Heavy Rainfall Outlook associated with Severe Tropical Storm MARCE.

Severe Winds
• The wind signals warn the public of the general wind threat over an area due to the tropical cyclone. Local winds may be slightly stronger/enhanced in coastal and upland/mountainous areas exposed to winds. Winds are less strong in areas sheltered from the prevailing wind direction.
• Minimal to minor impacts from strong winds are possible within any of the areas under Wind Signal No. 1.
The highest Wind Signal which may be hoisted during the occurrence of MARCE is Wind Signal No. 4.

Furthermore, northeasterly wind flow will also bring strong to gale-force gusts over the following areas (especially in coastal and upland areas exposed to winds):
• Tomorrow (5 November): Ilocos Sur, Aurora, Quezon, and Camarines Norte.
• Wednesday (6 November): Ilocos Region, Quezon, Camarines Norte, Camarines Sur, and Catanduanes.
• Thursday (7 November): Ilocos Region

HAZARDS AFFECTING COASTAL WATERS

24-Hour Sea Condition Outlook
Up to rough seas over the following coastal waters:
• Up to 3.5 m: The seaboard of Batanes.
• Up to 3.0 m: The seaboards Babuyan Islands, Ilocos Norte, Ilocos Sur, Isabela, northern Aurora; the eastern seaboard on mainland Cagayan.
• Mariners of small seacrafts, including all types of motorbancas, are advised not to venture out to sea under these conditions, especially if inexperienced or operating ill-equipped vessels.

Up to moderate seas over the following coastal waters:
• Up to 2.5 m: The remaining seaboards of mainland Cagayan and Aurora; the northern and eastern seaboards of Polillo Islands.
• Up to 2.0 m: The remaining seaboards of Ilocos Region; the seaboards of northern Quezon and Camarines Norte; the northern and eastern seaboards of Catanduanes and Northern Samar; the eastern seaboards of Albay, Sorsogon, and Eastern Samar. 
• Mariners of motorbancas and similarly-sized vessels are advised to take precautionary measures while venturing out to sea and, if possible, avoid navigation under these conditions.
A Gale Warning will likely be hoisted over the seaboard of Northern Luzon tomorrow.

TRACK AND INTENSITY OUTLOOK

• MARCE is forecast to move generally west northwestward today until tomorrow (5 November) before turning westward at a slow pace over the Philippine Sea east of Extreme Northern Luzon. On the forecast track, MARCE will make landfall in the vicinity of Babuyan Islands or mainland northern Cagayan on Thursday evening (7 November) or Friday (8 November) early morning. Due to uncertainty in the strength of the high pressure area north of MARCE, the forecast track may still change and bring the landfall point to mainland Cagayan-Isabela area.
• This tropical cyclone is expected to gradually intensify and may reach severe tropical storm category tonight or tomorrow (5 November) morning. Furthermore, it may also reach typhoon category by tomorrow evening or Wednesday early morning. Rapid intensification is likely.

Considering these developments, the public and disaster risk reduction and management offices concerned are advised to take all necessary measures to protect life and property. Persons living in areas identified to be highly or very highly susceptible to these hazards are advised to follow evacuation and other instructions from local officials. For heavy rainfall warnings, thunderstorm/rainfall advisories, and other severe weather information specific to your area, please monitor products issued by your local PAGASA Regional Services Division.

The next tropical cyclone bulletin will be issued at 5:00 AM tomorrow.
 
DOST-PAGASA",2024-11-04T16:25:22.000Z,,2,7,tropical cyclone bulletin nr severe tropical storm HASHTAG_marceph yinxing issued pm november valid broadcast next bulletin tomorrow marce intensifies severe tropical storm undergoes rapid intensification location center pm center severe tropical storm marce estimated based available data km east daet camarines norte intensity maximum sustained winds kmh near center gustiness kmh central pressure hpa present movement northwestward kmh extent tropical cyclone winds strong stormforce winds extend outwards km center tropical cyclone wind signals tcws effect tcws wind threat strong winds warning lead time hours range wind speeds kmh beaufort potential impacts winds minimal minor threat life property luzon batanes northern eastern portions cagayan camalaniugan lallo pamplona gonzaga santa teresita baggao buguey santa ana claveria gattaran penablanca lasam aparri ballesteros abulug allacapan sanchezmira santa praxedes alcala amulung iguig including babuyan islands eastern portion isabela maconacon san pablo divilacan palanan dinapigue northern portion apayao santa marcela luna calanasan flora pudtol northern portion ilocos norte pagudpud dumalneg adams bangui burgos pasuquin vintar hazards affecting land areas heavy rainfall outlook refer weather advisory issued pm today heavy rainfall outlook associated severe tropical storm marce severe winds wind signals warn public general wind threat area due tropical cyclone local winds slightly strongerenhanced coastal uplandmountainous areas exposed winds winds less strong areas sheltered prevailing wind direction minimal minor impacts strong winds possible within areas wind signal highest wind signal hoisted occurrence marce wind signal furthermore northeasterly wind flow also bring strong galeforce gusts following areas especially coastal upland areas exposed winds tomorrow november ilocos sur aurora quezon camarines norte wednesday november ilocos region quezon camarines norte camarines sur catanduanes thursday november ilocos region hazards affecting coastal waters hour sea condition outlook rough seas following coastal waters seaboard batanes seaboards babuyan islands ilocos norte ilocos sur isabela northern aurora eastern seaboard mainland cagayan mariners small seacrafts including types motorbancas advised venture sea conditions especially inexperienced operating illequipped vessels moderate seas following coastal waters remaining seaboards mainland cagayan aurora northern eastern seaboards polillo islands remaining seaboards ilocos region seaboards northern quezon camarines norte northern eastern seaboards catanduanes northern samar eastern seaboards albay sorsogon eastern samar mariners motorbancas similarlysized vessels advised take precautionary measures venturing sea possible avoid navigation conditions gale warning likely hoisted seaboard northern luzon tomorrow track intensity outlook marce forecast move generally west northwestward today tomorrow november turning westward slow pace philippine sea east extreme northern luzon forecast track marce make landfall vicinity babuyan islands mainland northern cagayan thursday evening november friday november early morning due uncertainty strength high pressure area north marce forecast track still change bring landfall point mainland cagayanisabela area tropical cyclone expected gradually intensify reach severe tropical storm category tonight tomorrow november morning furthermore also reach typhoon category tomorrow evening wednesday early morning rapid intensification likely considering developments public disaster risk reduction management offices concerned advised take necessary measures protect life property persons living areas identified highly highly susceptible hazards advised follow evacuation instructions local officials heavy rainfall warnings thunderstormrainfall advisories severe weather information specific area please monitor products issued local pagasa regional services division next tropical cyclone bulletin issued tomorrow dostpagasa,4,Coastal Wind Warning
"Thunderstorm Advisory No. 2 #MIN_PRSD

Issued at 04:40 PM, Sunday, 29 September 2024

Moderate with occasionally heavy (4.5-7.5 with occasionally 7.5-15 liters/meter^2 per hour) #rainshowers with lightning and strong winds due to thunderstorms are being experienced in #LanaodelNorte (ILIGAN CITY)

All are advised to take precautionary measures against the impacts associated with these hazards which include flash floods and landslides.
Keep monitoring for updates.",2024-09-29T10:54:46.000Z,,2,25,thunderstorm advisory HASHTAG_min_prsd issued pm sunday september moderate occasionally heavy occasionally litersmeter per hour HASHTAG_rainshowers lightning strong winds due thunderstorms experienced HASHTAG_lanaodelnorte city advised take precautionary measures impacts associated hazards include flash floods landslides keep monitoring updates,2,Thunderstorm Safety Advisory
"As of 2:00 PM today, no Low Pressure Areas are being monitored for tropical cyclone formation.
All are advised to monitor updates from DOST-PAGASA.

Source: https://www.facebook.com/PAGASA.DOST.GOV.PH",2025-02-22T08:08:34.000Z,,0,0,pm today low pressure areas monitored tropical cyclone formation advised monitor updates dostpagasa source,3,PAGASA Weather Advisory
